n_estimators,learning_rate,max_depth,accuracy,precision,recall,f1,roc_auc,training_time,experiment
50,0.1,6,0.7896233120113717,0.6242038216560509,0.5240641711229946,0.5697674418604651,0.8323894373379026,0.18802356719970703,n_estimators
100,0.1,6,0.7874911158493249,0.6132930513595166,0.5427807486631016,0.5758865248226951,0.8272786805472871,0.135406494140625,n_estimators
200,0.1,6,0.775408670931059,0.5847953216374269,0.5347593582887701,0.5586592178770949,0.8155015504397658,0.27188992500305176,n_estimators
300,0.1,6,0.7683013503909026,0.569364161849711,0.5267379679144385,0.5472222222222223,0.8081984355829809,0.25723862648010254,n_estimators
,,,,,,,,,
100,0.01,6,0.7860696517412935,0.7449664429530202,0.2967914438502674,0.42447418738049714,0.8348781649419426,0.12430191040039062,learning_rate
100,0.05,6,0.7917555081734187,0.6277602523659306,0.5320855614973262,0.5759768451519537,0.8321862494887948,0.13905119895935059,learning_rate
100,0.1,6,0.7874911158493249,0.6132930513595166,0.5427807486631016,0.5758865248226951,0.8272786805472871,0.1213996410369873,learning_rate
100,0.2,6,0.7746979388770433,0.584070796460177,0.5294117647058824,0.5553997194950911,0.8166300842258931,0.10886669158935547,learning_rate
100,0.3,6,0.7690120824449183,0.5710144927536231,0.5267379679144385,0.5479833101529903,0.8119127612322761,0.10340070724487305,learning_rate
,,,,,,,,,
100,0.1,2,0.7945984363894811,0.6411960132890365,0.516042780748663,0.5718518518518518,0.8399630379301242,0.07168388366699219,max_depth
100,0.1,3,0.7974413646055437,0.6386292834890965,0.5481283422459893,0.5899280575539568,0.8374704277557192,0.0790102481842041,max_depth
100,0.1,4,0.798862828713575,0.64,0.5561497326203209,0.5951359084406295,0.8397624384612596,0.09452056884765625,max_depth
100,0.1,6,0.7874911158493249,0.6132930513595166,0.5427807486631016,0.5758865248226951,0.8272786805472871,0.1134335994720459,max_depth
100,0.1,8,0.7818052594171997,0.6024464831804281,0.5267379679144385,0.5620542082738944,0.8207481971931605,0.1467885971069336,max_depth
100,0.1,10,0.7818052594171997,0.601823708206687,0.5294117647058824,0.5633001422475107,0.8131150638553406,0.1772170066833496,max_depth
,,,,,,,,,
100,0.05,3,0.7945984363894811,0.6421404682274248,0.5133689839572193,0.5705794947994056,0.8402619958482381,0.07893991470336914,combined
100,0.05,6,0.7917555081734187,0.6277602523659306,0.5320855614973262,0.5759768451519537,0.8321862494887948,0.11122679710388184,combined
100,0.05,9,0.783226723525231,0.6088328075709779,0.516042780748663,0.5586107091172214,0.8202615817073992,0.17739653587341309,combined
100,0.1,3,0.7974413646055437,0.6386292834890965,0.5481283422459893,0.5899280575539568,0.8374704277557192,0.08029890060424805,combined
100,0.1,6,0.7874911158493249,0.6132930513595166,0.5427807486631016,0.5758865248226951,0.8272786805472871,0.1065833568572998,combined
100,0.1,9,0.783226723525231,0.6055045871559633,0.5294117647058824,0.5649072753209701,0.8161240558883062,0.15678977966308594,combined
100,0.2,3,0.7846481876332623,0.6134185303514377,0.5133689839572193,0.5589519650655022,0.8315831568920801,0.07696318626403809,combined
100,0.2,6,0.7746979388770433,0.584070796460177,0.5294117647058824,0.5553997194950911,0.8166300842258931,0.10493087768554688,combined
100,0.2,9,0.767590618336887,0.56657223796034,0.5347593582887701,0.5502063273727648,0.8056928835073588,0.1458582878112793,combined
200,0.05,3,0.7967306325515281,0.6401273885350318,0.5374331550802139,0.5843023255813954,0.8379919863747665,0.11711740493774414,combined
200,0.05,6,0.7910447761194029,0.6197604790419161,0.553475935828877,0.5847457627118644,0.82709878812037,0.16857266426086426,combined
200,0.05,9,0.7789623312011372,0.5957446808510638,0.5240641711229946,0.5576102418207681,0.8154044861806378,0.2700650691986084,combined
200,0.1,3,0.7867803837953091,0.615625,0.5267379679144385,0.5677233429394812,0.8304908604293606,0.11190485954284668,combined
200,0.1,6,0.775408670931059,0.5847953216374269,0.5347593582887701,0.5586592178770949,0.8155015504397658,0.16793179512023926,combined
200,0.1,9,0.7704335465529495,0.5756676557863502,0.5187165775401069,0.5457102672292545,0.8106056292093534,0.2421572208404541,combined
200,0.2,3,0.7768301350390903,0.59375,0.5080213903743316,0.547550432276657,0.8216062452438513,0.11316275596618652,combined
200,0.2,6,0.7683013503909026,0.5701754385964912,0.5213903743315508,0.5446927374301676,0.8098472337980338,0.16093921661376953,combined
200,0.2,9,0.759772565742715,0.5508474576271186,0.5213903743315508,0.5357142857142857,0.7969571001858458,0.23181843757629395,combined
