n_estimators,max_depth,min_samples_split,accuracy,precision,recall,f1,roc_auc,training_time,experiment
50,,2,0.7846481876332623,0.6203389830508474,0.4893048128342246,0.547085201793722,0.813196597833008,0.2872898578643799,n_estimators
100,,2,0.7860696517412935,0.6196721311475409,0.5053475935828877,0.5567010309278351,0.8154575479756278,0.5143959522247314,n_estimators
200,,2,0.7839374555792467,0.6151315789473685,0.5,0.551622418879056,0.8158069793084883,0.9815723896026611,n_estimators
300,,2,0.7874911158493249,0.6237623762376238,0.5053475935828877,0.5583456425406204,0.8147703330210021,1.5344960689544678,n_estimators
,,,,,,,,,
100,,2,0.7860696517412935,0.6196721311475409,0.5053475935828877,0.5567010309278351,0.8154575479756278,0.5200667381286621,max_depth
100,5.0,2,0.7874911158493249,0.6623376623376623,0.4090909090909091,0.5057851239669422,0.8343721366043557,0.2842113971710205,max_depth
100,10.0,2,0.7924662402274343,0.6366666666666667,0.5106951871657754,0.5667655786350149,0.8300909556817535,0.41353297233581543,max_depth
100,15.0,2,0.7882018479033405,0.6217948717948718,0.5187165775401069,0.565597667638484,0.8185144250430966,0.481738805770874,max_depth
100,20.0,2,0.7889125799573561,0.6245954692556634,0.516042780748663,0.5651537335285505,0.8143691340832733,0.4971582889556885,max_depth
,,,,,,,,,
100,,2,0.7860696517412935,0.6196721311475409,0.5053475935828877,0.5567010309278351,0.8154575479756278,0.5034337043762207,min_samples_split
100,,5,0.7839374555792467,0.6190476190476191,0.48663101604278075,0.5449101796407185,0.8185157192332183,0.4693896770477295,min_samples_split
100,,10,0.7924662402274343,0.6375838926174496,0.5080213903743316,0.5654761904761905,0.8271932639992545,0.4326026439666748,min_samples_split
100,,20,0.7931769722814499,0.6406779661016949,0.5053475935828877,0.5650224215246636,0.8320853026593017,0.39388179779052734,min_samples_split
,,,,,,,,,
100,5.0,2,0.7874911158493249,0.6623376623376623,0.4090909090909091,0.5057851239669422,0.8343721366043557,0.2741584777832031,combined
100,5.0,10,0.7889125799573561,0.6652360515021459,0.4144385026737968,0.5107084019769358,0.8344640241029968,0.27573466300964355,combined
100,5.0,20,0.7874911158493249,0.6651982378854625,0.4037433155080214,0.502495840266223,0.8342194221699946,0.27633213996887207,combined
100,10.0,2,0.7924662402274343,0.6366666666666667,0.5106951871657754,0.5667655786350149,0.8300909556817535,0.39519309997558594,combined
100,10.0,10,0.7882018479033405,0.62751677852349,0.5,0.5565476190476191,0.8309787701052435,0.3839442729949951,combined
100,10.0,20,0.7924662402274343,0.6433566433566433,0.4919786096256685,0.5575757575757576,0.8354838459189009,0.3760690689086914,combined
100,15.0,2,0.7882018479033405,0.6217948717948718,0.5187165775401069,0.565597667638484,0.8185144250430966,0.48046422004699707,combined
100,15.0,10,0.7924662402274343,0.6375838926174496,0.5080213903743316,0.5654761904761905,0.8289132426710014,0.4233114719390869,combined
100,15.0,20,0.7931769722814499,0.6476868327402135,0.48663101604278075,0.5557251908396946,0.8326418044116354,0.3946371078491211,combined
100,,2,0.7860696517412935,0.6196721311475409,0.5053475935828877,0.5567010309278351,0.8154575479756278,0.5021698474884033,combined
100,,10,0.7924662402274343,0.6375838926174496,0.5080213903743316,0.5654761904761905,0.8271932639992545,0.4304184913635254,combined
100,,20,0.7931769722814499,0.6406779661016949,0.5053475935828877,0.5650224215246636,0.8320853026593017,0.39353179931640625,combined
200,5.0,2,0.7853589196872779,0.6538461538461539,0.4090909090909091,0.5032894736842105,0.8330287672580252,0.5245671272277832,combined
200,5.0,10,0.7846481876332623,0.6536796536796536,0.4037433155080214,0.4991735537190083,0.8335606793980462,0.5254392623901367,combined
200,5.0,20,0.7860696517412935,0.658008658008658,0.40641711229946526,0.5024793388429752,0.8337082170719208,0.5259957313537598,combined
200,10.0,2,0.7903340440653873,0.6295081967213115,0.5133689839572193,0.5655375552282769,0.8308338208116124,0.7786514759063721,combined
200,10.0,10,0.7924662402274343,0.6348684210526315,0.516042780748663,0.5693215339233039,0.831605158124149,0.7470951080322266,combined
200,10.0,20,0.7910447761194029,0.636986301369863,0.49732620320855614,0.5585585585585585,0.8354993762003614,0.7228989601135254,combined
200,15.0,2,0.7945984363894811,0.6357827476038339,0.5320855614973262,0.5793304221251819,0.8184393620160376,0.9366040229797363,combined
200,15.0,10,0.7903340440653873,0.6312292358803987,0.5080213903743316,0.562962962962963,0.8290840757670664,0.8327999114990234,combined
200,15.0,20,0.7953091684434968,0.6514084507042254,0.4946524064171123,0.5623100303951368,0.832168130827091,0.7666940689086914,combined
200,,2,0.7839374555792467,0.6151315789473685,0.5,0.551622418879056,0.8158069793084883,0.9782421588897705,combined
200,,10,0.7882018479033405,0.6258278145695364,0.5053475935828877,0.5591715976331361,0.8278869499044887,0.8439469337463379,combined
200,,20,0.7974413646055437,0.6529209621993127,0.5080213903743316,0.5714285714285714,0.8325537994833593,0.7695314884185791,combined
