C,gamma,accuracy,precision,recall,f1,roc_auc,training_time,experiment
0.01,scale,0.7356076759061834,0.75,0.008021390374331552,0.015873015873015872,0.8099132374942409,4.465770244598389,C
0.1,scale,0.7896233120113717,0.65,0.45187165775401067,0.5331230283911672,0.8006235408006378,4.22278904914856,C
1.0,scale,0.7938877043354655,0.6458333333333334,0.49732620320855614,0.5619335347432024,0.7842390938598444,4.335700273513794,C
10.0,scale,0.7846481876332623,0.6028985507246377,0.5561497326203209,0.5785813630041725,0.7782275807445217,5.3292388916015625,C
100.0,scale,0.7540867093105899,0.5344827586206896,0.5802139037433155,0.5564102564102564,0.7545348421864566,9.180034637451172,C
,,,,,,,,
1.0,scale,0.7938877043354655,0.6458333333333334,0.49732620320855614,0.5619335347432024,0.7842390938598444,4.262088298797607,gamma
1.0,auto,0.7910447761194029,0.6481481481481481,0.4679144385026738,0.5434782608695652,0.8070401354240543,4.11354398727417,gamma
1.0,0.001,0.7995735607675906,0.6586206896551724,0.5106951871657754,0.5753012048192772,0.8302656713481837,4.717122554779053,gamma
1.0,0.01,0.7903340440653873,0.6405693950177936,0.48128342245989303,0.549618320610687,0.8213461130293884,4.093172073364258,gamma
1.0,0.1,0.7910447761194029,0.6351351351351351,0.5026737967914439,0.5611940298507463,0.7805584171537134,4.449253797531128,gamma
1.0,1,0.7633262260127932,0.6062176165803109,0.31283422459893045,0.4126984126984127,0.7465186285726118,8.452712535858154,gamma
,,,,,,,,
0.1,scale,0.7896233120113717,0.65,0.45187165775401067,0.5331230283911672,0.8006235408006378,4.077726125717163,combined
0.1,0.01,0.7960199004975125,0.6570397111913358,0.48663101604278075,0.5591397849462365,0.8292587914334967,4.460235118865967,combined
0.1,0.1,0.7882018479033405,0.6472868217054264,0.446524064171123,0.5284810126582279,0.7937552738247459,4.183600664138794,combined
0.1,1,0.7398720682302772,0.7,0.0374331550802139,0.07106598984771574,0.7540896407845898,7.333869218826294,combined
1.0,scale,0.7938877043354655,0.6458333333333334,0.49732620320855614,0.5619335347432024,0.7842390938598444,4.2149951457977295,combined
1.0,0.01,0.7903340440653873,0.6405693950177936,0.48128342245989303,0.549618320610687,0.8213461130293884,3.936370611190796,combined
1.0,0.1,0.7910447761194029,0.6351351351351351,0.5026737967914439,0.5611940298507463,0.7805584171537134,4.299340486526489,combined
1.0,1,0.7633262260127932,0.6062176165803109,0.31283422459893045,0.4126984126984127,0.7465186285726118,7.961267709732056,combined
10.0,scale,0.7846481876332623,0.6028985507246377,0.5561497326203209,0.5785813630041725,0.7782275807445217,5.0348498821258545,combined
10.0,0.01,0.7938877043354655,0.647887323943662,0.4919786096256685,0.5592705167173252,0.8047960097530168,4.100738525390625,combined
10.0,0.1,0.7761194029850746,0.5821727019498607,0.5588235294117647,0.5702592087312415,0.7727208017766644,5.154876232147217,combined
10.0,1,0.7626154939587776,0.5943396226415094,0.33689839572192515,0.4300341296928328,0.7139024491253863,8.798712730407715,combined
