model,accuracy,precision,recall,f1,roc_auc,training_time
Logistic Regression,0.8045486851457001,0.649546827794562,0.5748663101604278,0.6099290780141844,0.8359342240812545,0.1056828498840332
Decision Tree,0.7256574271499645,0.48429319371727747,0.4946524064171123,0.4894179894179894,0.6522122885940436,0.05365777015686035
Random Forest,0.7860696517412935,0.6196721311475409,0.5053475935828877,0.5567010309278351,0.8154575479756278,0.5102267265319824
SVM,0.7938877043354655,0.6458333333333334,0.49732620320855614,0.5619335347432024,0.7842390938598444,4.15782904624939
XGBoost,0.7690120824449183,0.5710144927536231,0.5267379679144385,0.5479833101529903,0.8119127612322761,0.2298877239227295
